PM10,PM2.5,SO2,NO2,O3,CO,Latitude,Longitude
50.0,12.0,0.003,0.014,0.021,0.3,37.5720164,127.0050075
40.0,10.0,0.003,0.016,0.021,0.3,37.5720164,127.0050075
31.0,7.0,0.003,0.015,0.023,0.3,37.5720164,127.0050075
29.0,10.0,0.004,0.014,0.023,0.3,37.5720164,127.0050075
31.0,10.0,0.003,0.013,0.025,0.3,37.5720164,127.0050075
29.0,12.0,0.003,0.012,0.027,0.3,37.5720164,127.0050075
23.0,7.0,0.003,0.01,0.029,0.3,37.5720164,127.0050075
25.0,7.0,0.003,0.01,0.029,0.3,37.5720164,127.0050075
26.0,8.0,0.003,0.011,0.029,0.3,37.5720164,127.0050075
30.0,8.0,0.003,0.011,0.029,0.3,37.5720164,127.0050075
37.0,7.0,0.004,0.013,0.027,0.3,37.5720164,127.0050075
36.0,12.0,0.003,0.016,0.025,0.3,37.5720164,127.0050075
35.0,10.0,0.003,0.013,0.025,0.3,37.5720164,127.0050075
33.0,7.0,0.003,0.016,0.023,0.4,37.5720164,127.0050075
31.0,10.0,0.003,0.016,0.021,0.3,37.5720164,127.0050075
31.0,6.0,0.002,0.012,0.024,0.3,37.5720164,127.0050075
25.0,6.0,0.002,0.012,0.024,0.3,37.5720164,127.0050075
21.0,6.0,0.002,0.011,0.025,0.3,37.5720164,127.0050075
20.0,5.0,0.002,0.011,0.025,0.4,37.5720164,127.0050075
19.0,5.0,0.002,0.01,0.025,0.3,37.5720164,127.0050075
22.0,7.0,0.003,0.009,0.025,0.3,37.5720164,127.0050075
20.0,5.0,0.002,0.009,0.025,0.3,37.5720164,127.0050075
16.0,4.0,0.002,0.009,0.025,0.3,37.5720164,127.0050075
17.0,6.0,0.002,0.015,0.019,0.3,37.5720164,127.0050075
17.0,8.0,0.003,0.023,0.012,0.4,37.5720164,127.0050075
17.0,8.0,0.003,0.03,0.006,0.4,37.5720164,127.0050075
21.0,11.0,0.003,0.033,0.006,0.6,37.5720164,127.0050075
24.0,12.0,0.004,0.029,0.011,0.5,37.5720164,127.0050075
25.0,15.0,0.003,0.02,0.018,0.4,37.5720164,127.0050075
28.0,13.0,0.004,0.017,0.021,0.4,37.5720164,127.0050075
30.0,13.0,0.004,0.012,0.026,0.4,37.5720164,127.0050075
27.0,12.0,0.004,0.012,0.028,0.4,37.5720164,127.0050075
25.0,16.0,0.004,0.013,0.028,0.4,37.5720164,127.0050075
30.0,15.0,0.003,0.014,0.029,0.3,37.5720164,127.0050075
30.0,13.0,0.003,0.016,0.027,0.3,37.5720164,127.0050075
28.0,15.0,0.003,0.021,0.022,0.4,37.5720164,127.0050075
23.0,14.0,0.003,0.029,0.016,0.4,37.5720164,127.0050075
27.0,15.0,0.003,0.043,0.005,0.5,37.5720164,127.0050075
26.0,18.0,0.004,0.044,0.004,0.5,37.5720164,127.0050075
23.0,16.0,0.003,0.036,0.0069999999999999,0.5,37.5720164,127.0050075
29.0,16.0,0.003,0.026,0.012,0.5,37.5720164,127.0050075
31.0,17.0,0.003,0.029,0.009,0.5,37.5720164,127.0050075
34.0,18.0,0.003,0.035,0.006,0.6,37.5720164,127.0050075
39.0,15.0,0.003,0.034,0.008,0.5,37.5720164,127.0050075
36.0,19.0,0.003,0.032,0.008,0.5,37.5720164,127.0050075
34.0,18.0,0.003,0.035,0.006,0.6,37.5720164,127.0050075
34.0,21.0,0.003,0.035,0.005,0.6,37.5720164,127.0050075
35.0,18.0,0.003,0.039,0.002,0.7,37.5720164,127.0050075
33.0,19.0,0.003,0.047,0.002,0.8,37.5720164,127.0050075
36.0,21.0,0.004,0.053,0.002,0.9,37.5720164,127.0050075
40.0,26.0,0.004,0.053,0.003,1.0,37.5720164,127.0050075
44.0,28.0,0.004,0.046,0.006,0.9,37.5720164,127.0050075
44.0,29.0,0.004,0.033,0.011,0.6,37.5720164,127.0050075
53.0,33.0,0.005,0.035,0.013,0.7,37.5720164,127.0050075
57.0,44.0,0.005,0.035,0.014,0.6,37.5720164,127.0050075
